customer_id,snapshot_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
C0001,2026-01-31,11,63.5,0,59.2,Standard,East,0
C0002,2026-01-31,8,64.26,0,55.41,Standard,West,0
C0003,2026-01-31,67,92.95,1,47.1,Premium,South,0
C0004,2026-01-31,13,69.8,2,47.56,Standard,South,0
C0005,2026-01-31,56,32.69,1,31.24,Basic,East,0
C0006,2026-01-31,17,90.6,5,55.43,Premium,North,1
C0007,2026-01-31,65,67.07,4,33.02,Standard,North,0
C0008,2026-01-31,31,60.5,2,65.97,Standard,East,0
C0009,2026-01-31,37,28.45,0,31.79,Basic,East,0
C0010,2026-01-31,10,61.79,2,45.34,Standard,North,0
C0011,2026-01-31,62,31.54,0,49.12,Basic,East,1
C0012,2026-01-31,20,98.28,1,25.48,Premium,South,0
C0013,2026-01-31,28,68.39,2,24.83,Standard,East,0
C0014,2026-01-31,6,92.19,0,63.52,Premium,West,0
C0015,2026-01-31,15,72.13,2,53.59,Standard,North,0
C0016,2026-01-31,42,32.72,0,45.36,Basic,West,0
C0017,2026-01-31,24,67.71,2,24.26,Standard,South,1
C0018,2026-01-31,31,33.67,1,25.01,Basic,West,0
C0019,2026-01-31,41,92.23,1,64.65,Premium,South,0
C0020,2026-01-31,32,59.2,1,54.51,Standard,South,1
C0021,2026-01-31,61,70.95,4,30.94,Standard,West,0
C0022,2026-01-31,53,29.53,2,24.72,Basic,East,0
C0023,2026-01-31,14,92.08,1,42.49,Premium,North,0
C0024,2026-01-31,59,92.98,1,24.24,Premium,East,0
C0025,2026-01-31,37,64.83,0,54.34,Standard,West,0
C0026,2026-01-31,51,28.63,0,39.6,Basic,South,0
C0027,2026-01-31,8,61.24,1,20.81,Standard,West,0
C0028,2026-01-31,49,35.28,0,40.05,Basic,East,0
C0029,2026-01-31,36,33.57,3,19.57,Basic,South,1
C0030,2026-01-31,24,61.33,2,34.13,Standard,North,0
C0031,2026-01-31,38,68.98,0,42.33,Standard,East,0
C0032,2026-01-31,21,103.48,0,33.76,Premium,North,0
C0033,2026-01-31,24,42.88,0,42.61,Basic,West,0
C0034,2026-01-31,46,31.07,2,41.52,Basic,East,1
C0035,2026-01-31,45,66.95,1,34.94,Standard,South,0
C0036,2026-01-31,37,35.44,0,18.5,Basic,North,0
C0037,2026-01-31,54,37.17,3,23.7,Basic,East,1
C0038,2026-01-31,55,59.45,1,54.63,Standard,North,0
C0039,2026-01-31,36,42.95,2,10.95,Basic,South,0
C0040,2026-01-31,24,67.38,1,43.78,Standard,West,0
C0041,2026-01-31,69,58.33,0,33.03,Standard,West,0
C0042,2026-01-31,68,96.03,0,46.23,Premium,West,0
C0043,2026-01-31,64,63.02,0,41.22,Standard,West,0
C0044,2026-01-31,68,39.98,0,37.32,Basic,East,0
C0045,2026-01-31,27,91.18,1,66.67,Premium,North,0
C0046,2026-01-31,19,89.39,2,69.04,Premium,West,0
C0047,2026-01-31,40,36.83,0,48.46,Basic,West,0
C0048,2026-01-31,35,36.9,5,40.75,Basic,West,0
C0049,2026-01-31,55,64.02,1,33.29,Standard,East,1
C0050,2026-01-31,14,33.69,0,36.82,Basic,North,1
C0051,2026-01-31,25,35.27,0,28.98,Basic,East,0
C0052,2026-01-31,20,36.94,0,32.99,Basic,South,0
C0053,2026-01-31,21,67.34,3,40.65,Standard,West,0
C0054,2026-01-31,53,69.35,3,33.86,Standard,South,0
C0055,2026-01-31,35,68.86,2,42.49,Standard,South,0
C0056,2026-01-31,8,66.95,3,53.76,Standard,North,1
C0057,2026-01-31,46,63.7,0,49.08,Standard,West,0
C0058,2026-01-31,32,68.86,0,30.78,Standard,West,0
C0059,2026-01-31,52,35.97,1,34.75,Basic,North,0
C0060,2026-01-31,36,35.49,1,48.02,Basic,South,0
C0061,2026-01-31,2,69.23,2,28.34,Standard,South,0
C0062,2026-01-31,55,78.52,1,32.67,Standard,South,0
C0063,2026-01-31,28,69.68,0,47.18,Standard,West,0
C0064,2026-01-31,51,60.77,1,50.09,Standard,North,0
C0065,2026-01-31,19,60.95,0,49.37,Standard,South,0
C0066,2026-01-31,62,71.51,1,56.02,Standard,North,0
C0067,2026-01-31,54,56.45,0,62.28,Standard,North,0
C0068,2026-01-31,64,33.5,1,36.53,Basic,West,0
C0069,2026-01-31,39,37.54,0,62.8,Basic,West,0
C0070,2026-01-31,63,55.69,1,43.25,Standard,North,0
C0071,2026-01-31,62,45.05,1,26.48,Basic,East,0
C0072,2026-01-31,52,35.18,1,34.85,Basic,North,0
C0073,2026-01-31,14,93.92,0,56.02,Premium,North,0
C0074,2026-01-31,15,40.4,2,34.28,Basic,South,0
C0075,2026-01-31,10,38.95,1,24.54,Basic,North,0
C0076,2026-01-31,63,35.07,1,52.46,Basic,South,0
C0077,2026-01-31,4,31.03,3,39.37,Basic,West,0
C0078,2026-01-31,36,67.9,0,38.16,Standard,East,0
