customer_id,reference_probability
C0146,0.4514551773370025
C0335,0.6473126731192422
C0176,0.789626452985239
C0370,0.5678773528315819
C0417,0.5023142629668725
C0074,0.5063803005050908
C0133,0.11340065293193351
C0138,0.15095531671083087
C0031,0.30307875913948457
C0073,0.09189804359713001
C0071,0.9102681397187643
C0095,0.23560366491654955
C0369,0.30161679200395747
C0091,0.2792941187090253
C0327,0.1954765337778654
C0413,0.4877109905558455
C0010,0.1190346256740711
C0248,0.7467839819191382
C0197,0.163393166022355
C0232,0.30998182519782985
C0193,0.8018291442065999
C0240,0.6675109456488305
C0348,0.37876008834214014
C0229,0.5518505944067742
C0056,0.14775397983286673
C0354,0.388398679466529
C0057,0.15786439363804686
C0298,0.05816559961266327
C0272,0.6552429318977808
C0080,0.15669384893489083
C0330,0.5287962090417858
C0117,0.40321776932883335
C0209,0.6025807524682341
C0195,0.45126621247794557
C0338,0.41645949719514797
C0185,0.23988455386397123
C0219,0.09665207773650462
C0040,0.24875522730699823
C0169,0.5155078322591669
C0263,0.6343837667381904
C0076,0.5834683237943834
C0077,0.4387686848735333
C0416,0.40246172161747984
C0034,0.39708003071661335
C0114,0.5740130336915077
C0376,0.4887326571001974
C0149,0.2651140157443014
C0295,0.15940207429125122
C0368,0.22747999088119647
C0016,0.9134700068802197
C0079,0.11788519678384014
C0318,0.16510827957106652
C0001,0.2799902387351874
C0020,0.32397761633352107
C0400,0.5334119968593776
C0279,0.20521470265575859
C0281,0.5246056399027462
C0278,0.08818613645999104
C0078,0.22555516799554698
C0083,0.6936068165346794
C0357,0.27366795917057857
C0105,0.19851254949494176
C0026,0.39788265932700423
C0380,0.4747772034495436
C0173,0.4517368718562522
C0367,0.1015552535411094
C0267,0.3691314606956714
C0043,0.4317229307535955
C0174,0.07599465650842355
C0371,0.12260574888382667
C0125,0.9157404893444223
C0363,0.6215261549139685
C0297,0.16798077812093282
C0273,0.7791235152340569
C0023,0.11040839295021045
C0047,0.5747112014839661
C0285,0.4557141530781981
C0094,0.3185174624086385
C0407,0.35114365067351394
C0409,0.5076710810699455
C0058,0.49913279426701423
C0412,0.36591230024679217
C0025,0.44785401755698884
C0018,0.38226679805736274
C0067,0.24784222416805074
C0132,0.06969721571952935
C0032,0.5834681156812316
C0085,0.41859129452802596
C0290,0.5444514324847886
C0372,0.750454717561956
C0334,0.10347371383538186
C0154,0.2545041505477174
C0247,0.4137347984864862
C0205,0.6568663935164777
C0211,0.1949057279411534
C0006,0.109421219532857
C0046,0.62072567602476
C0282,0.7997571086065952
C0403,0.5630494126484834
C0362,0.6026044295243753
C0266,0.35771019129992365
C0017,0.20959633606149203
C0389,0.49978505872725887
C0249,0.4269261256532161
C0303,0.3213749719386983
C0004,0.25343925850475496
C0019,0.16145337851517336
C0394,0.0983561684636307
C0061,0.3118708166984993
C0204,0.27391245237146405
C0155,0.495934182917617
C0064,0.29063007770673305
C0111,0.2903496623596911
C0312,0.30235285874546763
C0313,0.3469268707182841
C0127,0.18312744312633747
C0324,0.12586452140408383
C0347,0.225456862895628
C0383,0.21559390290834746
C0027,0.21382551969529556
C0008,0.4640465543722174
C0200,0.8370549980232423
C0392,0.2769889480468298
C0109,0.820811400757079
C0102,0.05163272845220074
C0359,0.18261961312838573
C0030,0.23127172851610783
C0141,0.5207308030799244
C0393,0.3769094276578118
C0119,0.45583741436745057
C0115,0.5164731985524665
C0299,0.3975712193636465
C0269,0.8202110677815567
C0142,0.4072004825764965
C0156,0.2887314417990467
C0374,0.6803320959887791
C0311,0.1730984629986455
C0212,0.1314104025835057
C0153,0.9588049843531607
C0291,0.10399284482016535
C0110,0.3933772024251019
C0181,0.06721212152948985
C0194,0.2378613663895528
C0158,0.23712396706225117
C0182,0.8672670724471668
C0084,0.35091328077437284
C0178,0.4798418202890268
C0166,0.75955192612911
C0075,0.31812019042612427
C0210,0.13567376271528733
C0120,0.36164120490876633
C0223,0.34233470877478067
C0250,0.5681718891527714
C0239,0.2445792389938754
C0333,0.6414438592005157
C0378,0.21579181481552678
C0351,0.13481242922189143
C0379,0.5493408706853246
C0326,0.09178111659325734
C0339,0.6557141623778115
